№;COBID;ящик;Состояние COBID;Столбец2;Столбец3;Столбец4;;;;;;;
283;1038;ОРН5-7.2;Свободен;;;;;;;;;;
284;1037;ОРН5-7.2;Свободен;;;;;;;;;;
285;1036;ОРН5-7.2;Свободен;;;;;;;;;;
286;1035;ОРН5-7.2;Свободен;;;;;;;;;;
287;1034;ОРН5-7.2;Свободен;;;;;;;;;;
288;1033;ОРН5-7.2;Свободен;;;;;;;;;;
289;1032;ОРН5-7.2;Свободен;;;;;;;;;;
290;1031;ОРН5-7.2;Свободен;;;;;;;;;;
291;1030;ОРН5-7.2;Свободен;;;;;;;;;;
292;1029;ОРН5-7.2;Свободен;;;;;;;;;;
293;1028;ОРН5-7.2;Свободен;;;;;;;;;;
294;1027;ОРН5-7.2;Свободен;;;;;;;;;;
295;1026;ОРН5-7.2;Свободен;;;;;;;;;;
296;1025;ОРН5-7.2;Свободен;;;;;;;;;;
297;1024;ОРН5-7.2;Свободен;;;;;;;;;;
298;1023;ОРН5-7.2;Свободен;;;;;;;;;;
299;1022;ОРН5-7.2;Свободен;;;;;;;;;;
300;1021;ОРН5-7.2;Свободен;;;;;;;;;;
301;1020;ОРН5-7.2;Свободен;;;;;;;;;;
302;1019;ОРН5-8.1;Свободен;;;;;;;;;;
303;1018;ОРН5-8.1;Свободен;;;;;;;;;;
304;1017;ОРН5-8.1;Свободен;;;;;;;;;;
305;1016;ОРН5-8.1;Свободен;;;;;;;;;;
306;1015;ОРН5-8.1;Свободен;;;;;;;;;;
307;1014;ОРН5-8.1;Свободен;;;;;;;;;;
308;1013;ОРН5-8.1;Свободен;;;;;;;;;;
309;1012;ОРН5-8.1;Свободен;;;;;;;;;;
310;1011;ОРН5-8.1;Свободен;;;;;;;;;;
311;1010;ОРН5-8.1;Свободен;;;;;;;;;;
312;1009;ОРН5-8.1;Свободен;;;;;;;;;;
313;1008;ОРН5-8.1;Свободен;;;;;;;;;;
314;1007;ОРН5-8.1;Свободен;;;;;;;;;;
315;1006;ОРН5-8.1;Свободен;;;;;;;;;;
316;1005;ОРН5-8.1;Свободен;;;;;;;;;;
317;1004;ОРН5-8.1;Свободен;;;;;;;;;;
318;1003;ОРН5-8.1;Свободен;;;;;;;;;;
319;1002;ОРН5-8.1;Свободен;;;;;;;;;;
320;1001;ОРН5-8.1;Свободен;;;;;;;;;;
321;1000;ОРН5-8.1;Свободен;;;;;;;;;;
322;999;ОРН5-8.3;Свободен;;;;;;;;;;
323;998;ОРН5-8.3;Свободен;;;;;;;;;;
324;997;ОРН5-8.3;Свободен;;;;;;;;;;
325;996;ОРН5-8.3;Свободен;;;;;;;;;;
326;995;ОРН5-8.3;Свободен;;;;;;;;;;
327;994;ОРН5-8.3;Свободен;;;;;;;;;;
328;993;ОРН5-8.3;Свободен;;;;;;;;;;
329;992;ОРН5-8.3;Свободен;;;;;;;;;;
330;991;ОРН5-8.3;Свободен;;;;;;;;;;
331;990;ОРН5-8.3;Свободен;;;;;;;;;;
332;989;ОРН5-8.3;Свободен;;;;;;;;;;
333;988;ОРН5-8.3;Свободен;;;;;;;;;;
334;987;ОРН5-8.3;Свободен;;;;;;;;;;
335;986;ОРН5-8.3;Свободен;;;;;;;;;;
336;985;ОРН5-8.3;Свободен;;;;;;;;;;
337;984;ОРН5-8.3;Свободен;;;;;;;;;;
338;983;ОРН5-8.3;Свободен;;;;;;;;;;
339;982;ОРН5-8.3;Свободен;;;;;;;;;;
340;981;ОРН5-8.3;Свободен;;;;;;;;;;
341;980;ОРН5-8.3;Свободен;;;;;;;;;;
342;979;ОРН5-8.4;Свободен;;;;;;;;;;
343;978;ОРН5-8.4;Свободен;;;;;;;;;;
344;977;ОРН5-8.4;Свободен;;;;;;;;;;
345;976;ОРН5-8.4;Свободен;;;;;;;;;;
346;975;ОРН5-8.4;Свободен;;;;;;;;;;
347;974;ОРН5-8.4;Свободен;;;;;;;;;;
348;973;ОРН5-8.4;Свободен;;;;;;;;;;
349;972;ОРН5-8.4;Свободен;;;;;;;;;;
350;971;ОРН5-8.4;Свободен;;;;;;;;;;
351;970;ОРН5-8.4;Свободен;;;;;;;;;;
