;BI23_3SS1_DT21_dT;Сработка 3СС1-ДТ21 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DT22_T1;Сработка 3СС1-ДТ22 температура в Кубрике №2 30 гр.Ц.
;BI23_3SS1_DT22_T2;Сработка 3СС1-ДТ22 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DT22_dT;Сработка 3СС1-ДТ22 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DT23_T1;Сработка 3СС1-ДТ23 температура в Кубрике №2 30 гр.Ц.
;BI23_3SS1_DT23_T2;Сработка 3СС1-ДТ23 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DT23_dT;Сработка 3СС1-ДТ23 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DT24_T1;Сработка 3СС1-ДТ24 температура в Санузле №2 30 гр.Ц.
;BI23_3SS1_DT24_T2;Сработка 3СС1-ДТ24 температура в Санузле №2 70 гр.Ц.
;BI23_3SS1_DT24_dT;Сработка 3СС1-ДТ24 изменение температуры в Санузле №2 10 гр.Ц. в мин.
;BI23_3SS1_DT25_T1;Сработка 3СС1-ДТ25 температура в Санузле №2 30 гр.Ц.
;BI23_3SS1_DT25_T2;Сработка 3СС1-ДТ25 температура в Санузле №2 70 гр.Ц.
;BI23_3SS1_DT25_dT;Сработка 3СС1-ДТ24 изменение температуры в Санузле №2 10 гр.Ц. в мин.
;BI23_3SS1_DK2_T;Сработка 3СС1-ДК2 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DK2_dT;Сработка 3СС1-ДК2 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DK2_f;Сработка 3СС1-ДК2 дым в Кубрике №1 15%
;BI23_3SS1_DK3_T;Сработка 3СС1-ДК3 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DK3_dT;Сработка 3СС1-ДК3 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DK3_f;Сработка 3СС1-ДК3 дым в Кубрике №1 15%
;BI23_3SS1_DK4_T;Сработка 3СС1-ДК4 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DK4_dT;Сработка 3СС1-ДК4 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DK4_f;Сработка 3СС1-ДК4 дым в Кубрике №1 15%
;BI23_3SS1_DK14_T;Сработка 3СС1-ДК14 температура в Кубрике №1 70 гр.Ц.
